PID,TRIAL,ATTEMPT,NAME,TOOL,POS X,POS Y,TIME,SUCCESS,SCORE,IMAGE,
672,1,1,Introduction1,obj1,347.5,115,4118,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAApJJREFUeF7tl78uZGEAR39TIwpheQAkEoVXEE9ASa+SqTzFVKKZ6enEE4hap6PwBLsq8afdzd0bMrtuhMyMnO/mTGXkuvc35zi+6CT5nRFeS+tLGZwNsjK3ktW51RHu5I9WBDoKYf0iKITlw0JgPhSiEBoB2B7PEIXACMDmWIhCYARgcyxEITACsDkWopAxEzg+Tnq9+qaHh8nBwbsHbGzU37q+HvOzJ3C7sguZn0+2t2ssp6fJ7m5yfp7c37+hmppK9vbqt51O0u9PgOIYb1m2kP395OEhmZ39F8lg8Pa+uuT19fycnJyMkd4EblWukKOj5ObmPZLb22RnJ+l2M1zH64X0SsoVUsmopDS9ut1kbS3DdZRSSblCKsJbW8nVVX12vLzUp/biYnJx0VhHCZWULaQivLycbG7WrC8vk7u7v1821VFCJeULafiT1XR2/H8Z9SxppZCP6qBX0john6mDfJa0Tshn6iBX0iohX6mDWkmrhEzgH+dvv6VCvh35xw9UiEJgBGBzLEQhMAKwORaiEBgB2BwLUQiMAGyOhSgERgA2x0IUAiMAm2MhCoERgM2xEIXACMDmWIhCYARgcyxEITACsDkWohAYAdgcC1EIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5liIQmAEYHMsRCEwArA5FqIQGAHYHAtRCIwAbI6FKARGADbHQhQCIwCbYyEKgRGAzbEQhcAIwOZYiEJgBGBzLEQhMAKwORaiEBgB2BwLUQiMAGzOyIXMLMxk+sd0nn4+5fHXI+zjlTdnZCHlfWT2YoXA/ChEITACsDkWohAYAdgcC1EIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5vwBzB+oF8iabcMAAAAASUVORK5CYII='>",
672,2,1,Introduction1_Alt,obj1,346.5,106,7005,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAArhJREFUeF7tl79KW3EARj/BUXEQW3X2Tyj0GQTxCXT0ATJJJkcRcXQKDiUP4FZ8giK4ubmp4FqE1kkU15bb1DZJE+glKOdejpuSxO+ec09+yUSSHxnjZ+HjQjqfO1mZXcnq7OoYr+RTCwITCmHdCAph+bAQmA+FKIRGALbHM0QhMAKwORaiEBgB2BwLUQiMAGxO7QtpNJK1tS71TgdGf8ic6gs5Pk6OjrqXtrub7Oz0XWaz+ffX8/Pk5oYtpdpC5uaSzc0u4ZOTZHs7OT1N7u9//am3jhcN9EqqLaS4/R8ekpmZ/tv+N/XeOl4eQK+kukLa7eTq6t/3n+vrZGsrjU+tP2fH4IPIlVRXSCGjkDLsp9VKs/1h5GFBrqS6QgrcGxvJxUX37Hh+Ti4vk/n5NL5+GVkH/SyptpCC7vJysr7e5Xx2ltzeZtjZMZgLtZLqCxkgPeyT1aj3LuJZUjsh/1MH+RNXrYSUqYN6ltRKyORk+W/hS0usb++1ElJeB+8ZCulxcnCQ3N31S1pcTPb3306cQhTydndb2f9kIWWJvfLjFfLKgMu+fCHk8LD/WXt7niFlOdbq8R7qMJ0KUQiMAGyOhSgERgA2x0IUAiMAm2MhCoERgM2xEIXACMDmWIhCYARgcyxEITACsDkWohAYAdgcC1EIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5liIQmAEYHMsRCEwArA5FqIQGAHYHAtRCIwAbI6FKARGADbHQhQCIwCbYyEKgRGAzbEQhcAIwOZYiEJgBGBzLEQhMAKwORaiEBgB2BwLUQiMAGyOhdRNyPS76Uy9n8rTt6c8fn+EXV715oxdSPUumb1YITA/ClEIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5liIQmAEYHMsRCEwArA5PwFU4LwXG8Bb8AAAAABJRU5ErkJggg=='>",
672,2,1,Introduction1_Alt,obj1,347.5,96,4778,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAqxJREFUeF7tlr9KW3EARj93xcFo1bWoU19CfAIdXYVM0slRRBydxCng6mZ9giK4ublFobvQOhRRXFuuF8VoYg0hcu7tyRjy57vn5OR3R5L8yQCPmS8zaR21Mj8xn4WJhQE+ybcWBEYUwvohKITlw0JgPhSiEBoB2B7PEIXACMDmWIhCYARgc/6LQtbWSuoHBzD6XebUXkijkayslFd+eppcXrKl1F5Is9kpoNVSyHAJ7O8nu7vld2xsJOvrT9/3vI7HJ+mVVLuQyclkeblkfXiYrK4mx8fJ9fXDUy/reJRCrqTaQgriNzfJ+Pir/6VudVShkuoK2dtL2u3Xf4cXFw+neLP99c2/Smol1RVSyCikdHk0vrWe7qx6WaGeJdUVUpBeWkrOzsqz4/4+OT9PpqfT/Pz9XTcSxEqqLaTAPjeXLC6WAk5O0vj94591kM+S6gt50UKvO6teydAqqZWQt+6sqnKW1ErIuw4O+IsUAhOkEIXACDybs72dXF117pudTba2Pm6zhSjk435t/X6ThfRLbMivV8iQAff78YWQnZ3Od21ueob0y7FWr/dQh+lUiEJgBGBzLEQhMAKwORaiEBgB2BwLUQiMAGyOhSgERgA2x0IUAiMAm2MhCoERgM2xEIXACMDmWIhCYARgcyxEITACsDkWohAYAdgcC1EIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5liIQmAEYHMsRCEwArA5FqIQGAHYHAtRCIwAbI6FKARGADbHQhQCIwCbYyEKgRGAzbEQhcAIwOZYiEJgBGBzLKRuQsamxjL6aTR3P+9y++sWdnnVmzNwIdW7ZPZihcD8KEQhMAKwORaiEBgB2BwLUQiMAGyOhSgERgA2x0IUAiMAm2MhCoERgM2xEIXACMDm/AXXSL0X3CENOQAAAABJRU5ErkJggg=='>",
672,2,1,Introduction1_Alt,obj1,351.5,93,4141,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAtxJREFUeF7tmj1KHAEARj97rdSEdS2stNCATfAQegKRCCFqpTcIYuMdBBEMEptAQMgBUoqNiCcQURJLLWSbhHExiYtms6wMbzZvSvdnvn1vnzOCfUl+pIuj9qqWrU9bGR8cz8TgRBfv5EsLAn0KYX0RFMLyYSEwHwpRCI0AbI/XEIXACMDmWIhCyifQaCQnJ8nQUDI2Vv75Oznjf1FIvZ7MzSWXl8nBQSd4yn9uzwsp6lhd/Q12cjJZWysf9L+eseeF3NdxD4ReSfWFXF0lU1NN3qenyfDwry9jax33D5ArqbaQ6elkZqbJeXc3WVxMDg+T4+O7H7XWUYVKqi1kZeXxX81bW3mqDnol1RWys9OsofUo7m+XllJ///buzuqpg3otqa6Qo6Nke/tR3o0377L64XXbGxvitaS6Qgrc8/PJ/n6yvJzc3iZnZ0mtlvrXj3+tg3wtqbaQguzsbDI62mR8fp7G5y8P/u5olwmtkuoLaSH+1J1VVa4lPSWkuLMqhHR6bG7e3Qcgjp4SgiDa5QiFdAnwuV+ukOcm2uX7KeQPgBsbycXFQ6IjI8n6epeUO3i5QhTSwdel5KdaSMnA251OIe0Ilfx4IWRv7+FJFxa8hpSsgXU6L+osH/5vL8yHQhRCIwDb4zVEITACsDkWohAYAdgcC1EIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5liIQmAEYHMsRCEwArA5FqIQGAHYHAtRCIwAbI6FKARGADbHQhQCIwCbYyEKgRGAzbEQhcAIwOZYiEJgBGBzLEQhMAKwORaiEBgB2BwLUQiMAGyOhSgERgA2x0IUAiMAm2MhCoERgM2xEIXACMDmWIhCYARgc7ouZODFQPpf9ufm202uv1/DPl715nQtpHofmb1YITA/ClEIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5liIQmAEYHMsRCEwArA5PwG2jsoXxp8SmgAAAABJRU5ErkJggg=='>",
672,2,1,Introduction1_Alt,obj1,352.5,96,6389,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAsVJREFUeF7tl71KWwEARj93ncSWiLMuFiQQfAjfQASh+IMdHbqKTyEBEQSpS1cfQgQJIriLKK2jDm4t12BrQgyGkHBuPFkETe79ck5O7nUsyZ/08ah8qaT+s57ZydnMTc71cSRfWhAYUwjrg6AQlg8LgflQiEJoBGB7vIYoBEYANsdCFAIjAJvzIQppNJLt7eTuLrm6ghlom/MhhNRqSbXafOdbW8nCAlfKyAsp6tjb+y/g/Dw5O1PI4Ajc3yfz883jX14mU1Mt53pdx8sfyJWUu5Diu2dxscn58DBZXU1OT5MiizR/vK7jRQi5knIL2dzsXF69/vz7TnXQKymvkIODZg3tj4uLZH09jerXjnXQKymvkOLKvL/fuZC1tdS+1f7dWb11ASNeS8orpKC8vJwcHycbG8nTU3J9nVQqaXz/0bUOciXlFlKQXVpKZmaajG9ukpOTrteO9lpolZRfSBvht+6s3vraot1xjZyQbndWZbiWjJyQwf0HOpwjK2Q4nN99FoW8G9VwnqiQV5x3d5Pb21bw09PJzs5wZBRnUYhChvdp6/VMFtIrsQE/XyEDBtzr4QshR0etr1pZ8RrSK8eRer4XdZhOhSgERgA2x0IUAiMAm2MhCoERgM2xEIXACMDmWIhCYARgcyxEITACsDkWohAYAdgcC1EIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5liIQmAEYHMsRCEwArA5FqIQGAHYHAtRCIwAbI6FKARGADbHQhQCIwCbYyEKgRGAzbEQhcAIwOZYiEJgBGBzLEQhMAKwORaiEBgB2BwLUQiMAGyOhSgERgA2x0JGTcjEp4mMfx7P46/HPPx+gL298s3pu5DyvWX2YoXA/ChEITACsDkWohAYAdgcC1EIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5vwFnTXGFzW6WwsAAAAASUVORK5CYII='>",
672,3,1,Basic,obj3,50.5,328,9138,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAArFJREFUeF7tnTFKY1EARe/fgEyvS7AYsEg7lYzdVIIgZBuCRR5Mr7XuwdZCEMwChKQMugIR3MFkmAwMzBgd87yP3MRj/+6//5xcPkmEdNPpdCr+Ygh0CIlxMSuCkCwfCAnzgRCEpBEI68MzBCFhBMLqsBCEhBEIq8NCEBJGIKwOC0FIGIGwOiwEIWEEwuqwEISEEQirw0IQEkYgrA4LQUgYgbA6LAQhYQTC6rAQhIQRCKvDQhASRiCsDgtBSBiBsDosBCFhBMLqsBCEhBEIq8NCEBJGIKwOC0FIGIGwOiwEIWEEwuqwEISEEQirw0IQEkYgrA4LQUgYgbA6LAQhYQTC6rAQhIQRCKvDQhASRiCsDgtBSBiBsDqzhVxcSFdXizc7O1v8DCdeJ/BHyNHR4qju7hY/w4k3CAFSDgEe6jkuZk0QgpAwAmF1WMjaCTk9lfb3pc3NsFtbzTr1C5lMpJMT6fZW2tmRfr2ZeXxcTQpBreuF7O5KDw9Sr/f7du7vpevroFtbzSr1Qg4OpI2Nv++at+7vfhXUC9nakp6epMND6fxc2tuTLi/fXeijB3SllOpf2OmVoq/b2/oxmej78fFSWQ4Gg6Ve33XxTlK1EFcJR866/HITQhyvBmMGQowwHVEIcVA0ZiDECNMRhRAHRWMGQowwHVEIcVA0ZiDECNMRhRAHRWMGQowwHVEIcVA0ZiDECNMRhRAHRWMGQowwHVEIcVA0ZqytkK7rpG9Sv99/hms0Hmk8Gqt8Lkr7Ymu9hXzRXOA3wxsNR0OEGJf9LOrfbwxnC0FIS+SvZyNkeeznXhkhCGlCgId62L8PIQQhTZYuniFtuFanIqQaXZuDCGnDtToVIdXo2hxESBuu1akIqUbX5iBC2nCtTn1JyIuBn8SnvdW033BwrpD/nCsl7/uQnwBlQfN1Umv0AAAAAElFTkSuQmCC'>",
672,4,1,FallAlt,,309.5,307,,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAuNJREFUeF7tnbFO60AQRa8rqFAkKjpeTfNKCv6BT4io4BPoEjf0r6AAKjro+A8kPoCvoKCh8pOdIAIhxmYn7DU6dEir2fE9e2cmGyOKqqoq8WOjQAEQGxZNIgDx4gEQMx4AAYibAmb50EMAYqaAWTo4BCBmCpilg0MAYqaAWTo4BCBmCpilg0MAYqaAWTo4BCBmCpilg0MAYqaAWTo4BCBmCpilg0MAYqaAWTo4BCBmCpilg0MAYqaAWTo4BCBmCpilg0MAYqaAWTo4BCBmCpilg0MAYqaAWTo4BCBmCpilY+GQoigaWXL9QXDu/RfPxPCBnJ5Kj4+zZ9rZkc7Pe595gHyQ7NuCPDxIZ2fS9rb08iJtbEhHR9L+fi8o396/1y7dFg/bIaORdHgobW7OnvbqStrakp6euj39fBVAohxyclI3nvfR6t8vLwHSS4EoIHWcvT3p4EB6fpbu79/6SY+EcEgkkB7Cr1oKEICsPEbDbuoB7qhD4JAWh8w/IwZJ/XWYegYASAuQ4+OvRYxccXEBkCU9F08oQHJdIEUe818Uy6Kp/yI9kx8FIMkSxgYASKyeydEAkixhbACAxOqZHA0gyRLGBgBIrJ7J0QCSLGFsAIDE6pkcDSDJEsYGsABSlmXzVJPJJPbpOkbLvf9imhZAcl9/594fIC3X/x1NtbZlOIRvDJcPV+6SkXt/25I1nU7XVgraAr/u6/DVkFXJykJjYVOAzMV4LRkAMfmXRwB5O4qULErW6imLkkXJencGaOo09aWiQA+hh9BD2nolDsEhOASHdJynmbKYspiy2syCQ3AIDhmEQ4o/hfRXGo/HHdtfzLLr22vpJiZWRBSbktUA2f3513DKf6V0FyFlTAyAAOTzHoJDZrrgEByCQ4YzZdHUKVlMWZ9ctFZVVdHUaeqNAjgEh7R+gmTsZexl7GXsbVGAHkIPGVYPibkz7RFlJG57P8jVvAbk8vZ5D5RrWeowZf0HqWC68/CN95QAAAAASUVORK5CYII='>",
672,4,2,FallAlt,,,,,0,0,<img src=''>,
672,4,3,FallAlt,,,,,0,0,<img src=''>,
672,4,4,FallAlt,obj2,351.5,351,20207,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAzFJREFUeF7tnLFKI1EYRr8BQdTCPMJuKZJexFfwDUQQAvoMNkkKC8stFeuFtVqwtrET1FYQbK1FCxshy2Qixkwc55o7my/DmU64mfnnnPvd/yYTk/R6vZ44bAgkCLFx0S8EIV4+EGLmAyEIcSNgVg89BCFmBMzKISEIMSNgVg4JQYgZAbNySAhCzAiYlUNCEGJGwKwcEoIQMwJm5ZAQhJgRMCuHhCDEjIBZOSQEIWYEzMohIQgxI2BWDglBiBkBs3JICELMCJiVQ0IQYkbArBwSghAzAmblkBCEmBEwK4eEIMSMgFk5FglJkqSPZVr/EDzt6w/PidkXcngoXV5m97SyIh0cBM95hIwg+zaQmxspFdJoSC8v0sKCtLMjra0FSfn29YOuUm7wbCckFbG5KS0uZnd7fCwtL0uPj+XufjAKIbESsreXNp6PZ0v/TsUEHAiJJSQ9z+qqtLEhPT9LV1fS3V2AimwoQmIKCcaffwFCEPLpNJrtph4hHSxZYyAOLxlzc5EolzzN6ys9JIdqWMjubkmSkYYdHSEEIQWTyaKHRJrstTgNQsw0IgQhZgTMyqllQppNqcz2+f5eenryMlJbIevrX4M+O5MeHr4e9z9HIAQh1c+3dMkiIdVzDrrC9nb2ALHoSN+lux21XLJSyOfn0unp57hvb6WLCzcdNf9l66UlaWsrD/36OnuW5XhYJKTb7fbZtNvt6IzGLV2jS1WV1w+9IQshVT6xS5eu/f13LPPz+aWqyusjJJQAz9TzxKY9Q6d9/WEitV+yygQGISOU3oB0Op0y/KKPebvutL5bbJuQ6KQDT4iQAbC3hATyiz4cIQjJTSqrph59ygeekISQEBJSFBoSQkJICAkp0VjZ9r5DYpc1NGHoIfQQegg9hB5SggA9ZCwkegg9hB4yEz0k+ZlITanVagWtd5MOPvl9Iv2Z9CzxXm+zZPWF/KjmazhFuLq/utLfeEAnPRNCEDK+h5CQjAsJISEkZHZ2WTR1lix2Wfm89j9+p6nT1PsESAgJKXzvyLaXbS/bXra9BQToIfSQ2eohk35aGvz6hvi0dwRa9j5k8GP4wUBr9gKHXdY/B9zc8/yDKi4AAAAASUVORK5CYII='>",
